Time,Trading Price - $/MWh,Temperature - C,Solar (Rooftop) - MW,Solar (Utility) - MW,Wind - MW,Gas (Reciprocating) - MW,Gas (OCGT) - MW,Gas (CCGT) - MW,Gas (Steam) - MW,Hydro - MW,Battery (Discharging) - MW,Distillate - MW,Biomass - MW,Brown Coal - MW,Black Coal - MW,Imports - MW,Exports - MW,Battery (Charging) - MW,Pumps - MW
2018-05-04 01:05,38.92,,0,0,1178.69,0,0,140.79,183.41,0,21.9,0.02,0,0,0,0,-100.06,0,0
2018-05-04 01:10,38.92,,0,0,1194.38,0,0,140.38,172.1,0,0,0.02,0,0,0,0,-58.46,0,0
2018-05-04 01:15,38.92,,0,0,1197.55,0,0,140.66,173.98,0,0,0.02,0,0,0,0,-126.65,0,0
2018-05-04 01:20,38.92,,0,0,1200.63,0,0,141.14,182.08,0,0,0.02,0,0,0,0,-91.99,0,0
2018-05-04 01:25,38.92,,0,0,1202.76,0,0,139.66,206.51,0,14.7,0.02,0,0,0,0,-121.01,0,0
2018-05-04 01:30,39.23,14.1,0,0,1169.1,0,0,138.5,197.06,0,14.6,0.02,0,0,0,0,-103.97,0,0
2018-05-04 01:35,39.23,,0,0,1159.46,0,0,139.8,196.6,0,15.5,0.02,0,0,0,0,-129.18,0,0
2018-05-04 01:40,39.23,,0,0,1181.66,0,0,138.2,169.64,0,14.7,0.02,0,0,0,0,-134.37,0,0
2018-05-04 01:45,39.23,,0,0,1177.58,0,0,139.09,158.92,0,2.6,0.02,0,0,0,0,-163.4,0,0
2018-05-04 01:50,39.23,,0,0,1244.92,0,0,139.28,152.11,0,0,0.02,0,0,0,0,-189.62,0,0
2018-05-04 01:55,39.23,,0,0,1232.24,0,0,138.88,147.83,0,0,0.02,0,0,0,0,-208.71,0,0
2018-05-04 02:00,27.28,14.1,0,0,1233.26,0,0,138.72,151.61,0,0,0.02,0,0,0,0,-223.39,0,0
2018-05-04 02:05,27.28,,0,0,1216.27,0,0,139.55,145.06,0,0,0.02,0,0,0,0,-240.61,0,0
2018-05-04 02:10,27.28,,0,0,1203.1,0,0,139.1,147.12,0,0,0.02,0,0,0,0,-250.2,0,0
2018-05-04 02:15,27.28,,0,0,1199.05,0,0,138.95,163.49,0,0,0.02,0,0,0,0,-204.15,0,0
2018-05-04 02:20,27.28,,0,0,1220.39,0,0,139.55,189.75,0,16.7,0.02,0,0,0,0,-152.94,0,0
2018-05-04 02:25,27.28,,0,0,1203.05,0,0,139.53,171.68,0,0,0.02,0,0,0,0,-250.29,0,0
2018-05-04 02:30,36.74,14.1,0,0,1202.54,0,0,142.13,162.76,0,0,0.02,0,0,0,0,-242.02,0,0
2018-05-04 02:35,36.74,,0,0,1200.42,0,0,140.95,161.14,0,0,0.02,0,0,0,0,-235.43,0,0
2018-05-04 02:40,36.74,,0,0,1178.83,0,0,139.23,170.95,0,14.5,0.02,0,0,0,0,-217.49,0,0
2018-05-04 02:45,36.74,,0,0,1201.02,0,0,139.15,161.96,0,6.7,0.02,0,0,0,0,-229.51,0,0
2018-05-04 02:50,36.74,,0,0,1206.73,0,0,137.65,163.2,0,0,0.02,0,0,0,0,-252.45,0,0
2018-05-04 02:55,36.74,,0,0,1202.8,0,0,140.4,164.16,0,0.3,0.02,0,0,0,0,-240.23,0,0
2018-05-04 03:00,28.94,13.4,0,0,1199.22,0,0,139.83,159.74,0,0,0.02,0,0,0,0,-255.04,0,0
2018-05-04 03:05,28.94,,0,0,1202.42,0,0,138.88,159.1,0,4.7,0.02,0,0,0,0,-260.01,0,0
2018-05-04 03:10,28.94,,0,0,1199.92,0,0,139.6,150.76,0,0,0.02,0,0,0,0,-288.98,0,0
2018-05-04 03:15,28.94,,0,0,1200.05,0,0,139.48,164.41,0,0,0.02,0,0,0,0,-260.69,0,0
2018-05-04 03:20,28.94,,0,0,1199.62,0,0,139.55,167.38,0,0,0.02,0,0,0,0,-247.39,0,0
2018-05-04 03:25,28.94,,0,0,1207.31,0,0,138.83,152.24,0,0,0.02,0,0,0,0,-300.86,0,0
2018-05-04 03:30,15.02,11.8,0,0,1208.11,0,0,138.6,163.48,0,0,0.02,0,0,0,0,-282.62,0,0
2018-05-04 03:35,15.02,,0,0,1197.43,0,0,139.33,147.35,0,0,0.02,0,0,0,0,-307.36,0,0
2018-05-04 03:40,15.02,,0,0,1193.09,0,0,139.6,155.52,0,0,0.02,0,0,0,0,-286.73,0,0
2018-05-04 03:45,15.02,,0,0,1204.64,0,0,139.85,163.43,0,0,0.02,0,0,0,0,-290.2,0,0
2018-05-04 03:50,15.02,,0,0,1213.94,0,0,137,162.33,0,0,0.02,0,0,0,0,-297.07,0,0
2018-05-04 03:55,15.02,,0,0,1207.39,0,0,138.58,153.3,0,0,0.02,0,0,0,0,-306.38,0,0
2018-05-04 04:00,11.21,12.5,0,0,1203.1,0,0,139.75,166.14,0,0,0.02,0,0,0,0,-317.2,0,0
2018-05-04 04:05,11.21,,0,0,1210.26,0,0,139.78,176.29,0,0,0.02,0,0,0,0,-320.08,0,0
2018-05-04 04:10,11.21,,0,0,1202.4,0,0,140.76,169.56,0,0,0.02,0,0,0,0,-317.72,0,0
2018-05-04 04:15,11.21,,0,0,1194.67,0,0,141.14,169.25,0,0,0.02,0,0,0,0,-317.44,0,0
2018-05-04 04:20,11.21,,0,0,1162.06,0,0,140.34,149.8,0,0,0.02,0,0,0,0,-311.59,0,0
2018-05-04 04:25,11.21,,0,0,1152.57,0,0,140.51,160.19,0,0,0.02,0,0,0,0,-298.24,0,0
2018-05-04 04:30,18.92,12.4,0,0,1152.16,0,0,141.34,163.68,0,0,0.02,0,0,0,0,-304.55,0,0
2018-05-04 04:35,18.92,,0,0,1170.55,0,0,140.36,174.14,0,0,0.02,0,0,0,0,-294.12,0,0
2018-05-04 04:40,18.92,,0,0,1179.25,0,0,140.21,152.65,0,0,0.02,0,0,0,0,-305.47,0,0
2018-05-04 04:45,18.92,,0,0,1135.5,0,0,140.86,163.41,0,0,0.02,0,0,0,0,-268.91,0,0
2018-05-04 04:50,18.92,,0,0,1222.12,0,0,140.39,143.29,0,0,0.02,0,0,0,0,-294.56,0,0
2018-05-04 04:55,18.92,,0,0,1180.38,0,0,140.01,153.14,0,0,0.02,0,0,0,0,-294.8,0,0
2018-05-04 05:00,22.94,11.3,0,0,1155.33,0,0,140.1,163.54,0,0,0.02,0,0,0,0,-314.86,0,0
2018-05-04 05:05,22.94,,0,0,1168.71,0,0,140.65,190.8,0,0,0.02,0,0,0,0,-311.19,0,0
2018-05-04 05:10,22.94,,0,0,1231.33,0,0,138.94,170.98,0,0,0.02,0,0,0,0,-349.54,0,0
2018-05-04 05:15,22.94,,0,0,1208.28,0,0,141.26,179.92,0,0,0.02,0,0,0,0,-322.59,0,0
2018-05-04 05:20,22.94,,0,0,1207.55,0,0,140.97,181.21,0,0,0.02,0,0,0,0,-316.12,0,0
2018-05-04 05:25,22.94,,0,0,1197.42,0,0,141.01,186.13,0,0,0.02,0,0,0,0,-339.83,0,0
2018-05-04 05:30,32.32,12.2,0,0,1195.59,0,0,139.04,169.02,0,0,0.02,0,0,0,0,-381.41,0,0
2018-05-04 05:35,32.32,,0,0,1208.84,0,0,139.11,205.35,0,0.8,0.02,0,0,0,0,-348.01,0,0
